region	chr	midPos	Nsites
(763,1158)(270388,270801)(250000,300000)	JASDQU010010013.1	275000	397	0.070936
(185,2225)(154310,163266)(150000,200000)	JASDQU010010031.1	175000	2042	0.296780
(1489,1904)(191701,192311)(150000,200000)	JASDQU010010034.1	175000	417	0.028454
(631,1165)(211078,211701)(200000,250000)	JASDQU010010035.1	225000	536	0.140663
(176,1076)(343091,343994)(300000,350000)	JASDQU010010040.1	325000	902	0.380351
(621,1116)(150701,186626)(150000,200000)	JASDQU010010049.1	175000	497	0.225878
(2203,2649)(153670,154136)(150000,200000)	JASDQU010010054.1	175000	448	0.098956
(2170,2175)(66027,66033)(50000,100000)	JASDQU010010056.1	75000	7	0.049271
(44,517)(118506,119069)(100000,150000)	JASDQU010010058.1	125000	475	0.686097
(29,700)(248649,249514)(200000,250000)	JASDQU010010065.1	225000	673	0.609584
(701,761)(285343,285423)(250000,300000)	JASDQU010010065.1	275000	62	0.109602
(641,798)(75191,75350)(50000,100000)	JASDQU010010068.1	75000	159	0.040246
(133,472)(159751,160264)(150000,200000)	JASDQU010010086.1	175000	341	0.038212
(402,495)(53677,53783)(50000,100000)	JASDQU010010095.1	75000	95	0.734788
(191,1005)(320864,325458)(300000,350000)	JASDQU010010118.1	325000	816	0.507278
(2749,2843)(88149,88259)(50000,100000)	JASDQU010010129.1	75000	96	0.217623
(168,472)(50892,51219)(50000,100000)	JASDQU010010137.1	75000	306	0.482160
(972,1832)(57767,58650)(50000,100000)	JASDQU010010145.1	75000	862	0.220303
(39,743)(247933,249999)(200000,250000)	JASDQU010010146.1	225000	706	0.293474
(744,1563)(250000,268125)(250000,300000)	JASDQU010010146.1	275000	821	0.306966
(1477,2068)(226518,227209)(200000,250000)	JASDQU010010155.1	225000	593	0.635711
(9,373)(335938,336409)(300000,350000)	JASDQU010010181.1	325000	366	0.057692
(1308,2559)(250000,296920)(250000,300000)	JASDQU010010184.1	275000	1253	0.327936
(1856,1872)(148724,148781)(100000,150000)	JASDQU010010186.1	125000	18	0.060368
(2303,3086)(50000,96346)(50000,100000)	JASDQU010010197.1	75000	785	0.311802
(28,361)(129002,129708)(100000,150000)	JASDQU010010218.1	125000	335	0.290059
(6362,6569)(100840,101114)(100000,150000)	JASDQU010010227.1	125000	209	0.316451
(496,1471)(77884,82432)(50000,100000)	JASDQU010010231.1	75000	977	0.023176
(1472,3111)(302130,303894)(300000,350000)	JASDQU010010231.1	325000	1641	0.248070
(3112,3710)(487320,487979)(450000,500000)	JASDQU010010231.1	475000	600	0.014046
(3711,3957)(503225,503691)(500000,550000)	JASDQU010010231.1	525000	248	0.004810
(2126,2726)(119984,120597)(100000,150000)	JASDQU010010234.1	125000	602	0.518255
(205,1449)(194105,196427)(150000,200000)	JASDQU010010245.1	175000	1246	0.384407
(325,1162)(56903,62778)(50000,100000)	JASDQU010010265.1	75000	839	0.323158
(121,707)(251353,261056)(250000,300000)	JASDQU010010271.1	275000	588	0.178522
(614,1473)(53704,54572)(50000,100000)	JASDQU010010292.1	75000	861	0.230988
(1869,1924)(220435,220491)(200000,250000)	JASDQU010010307.1	225000	57	0.048994
(695,1327)(106658,107452)(100000,150000)	JASDQU010010310.1	125000	634	0.092130
(423,1053)(245544,246174)(200000,250000)	JASDQU010010323.1	225000	632	0.050657
(136,653)(279549,294099)(250000,300000)	JASDQU010010346.1	275000	519	0.485508
(1039,1130)(188985,189091)(150000,200000)	JASDQU010010373.1	175000	93	0.112596
(605,1332)(78469,79205)(50000,100000)	JASDQU010010379.1	75000	729	0.512364
(491,1250)(75855,76700)(50000,100000)	JASDQU010010393.1	75000	761	0.325839
(308,346)(213032,213084)(200000,250000)	JASDQU010010405.1	225000	40	0.020627
(527,965)(262561,275451)(250000,300000)	JASDQU010010416.1	275000	440	0.790885
(493,670)(91291,91471)(50000,100000)	JASDQU010010419.1	75000	179	0.011531
(534,1139)(236455,237074)(200000,250000)	JASDQU010010437.1	225000	607	0.146487
(713,889)(101973,102153)(100000,150000)	JASDQU010010459.1	125000	178	0.024928
(278,369)(217875,218026)(200000,250000)	JASDQU010010510.1	225000	93	0.043153
(370,792)(296521,297219)(250000,300000)	JASDQU010010510.1	275000	424	0.039866
(1987,3265)(294710,296641)(250000,300000)	JASDQU010010524.1	275000	1280	0.326223
(145,2894)(50000,82980)(50000,100000)	JASDQU010010538.1	75000	2751	0.030693
(2895,3970)(293969,295135)(250000,300000)	JASDQU010010538.1	275000	1077	0.561001
(3971,5170)(437589,438835)(400000,450000)	JASDQU010010538.1	425000	1201	0.272162
(5171,5258)(481499,481595)(450000,500000)	JASDQU010010538.1	475000	89	0.051157
(693,6718)(225421,234732)(200000,250000)	JASDQU010010545.1	225000	6027	0.328177
(526,1051)(229264,230183)(200000,250000)	JASDQU010010551.1	225000	527	0.010030
(247,1993)(59792,97147)(50000,100000)	JASDQU010010577.1	75000	1748	0.625713
(1994,2065)(300570,300648)(300000,350000)	JASDQU010010577.1	325000	73	0.568447
(411,504)(75653,75888)(50000,100000)	JASDQU010010589.1	75000	95	0.002989
(392,728)(111313,111683)(100000,150000)	JASDQU010010590.1	125000	338	0.152694
(279,1990)(181671,183553)(150000,200000)	JASDQU010010591.1	175000	1713	0.650323
(1172,1373)(78123,78324)(50000,100000)	JASDQU010010600.1	75000	203	0.037671
(2814,2845)(108812,108844)(100000,150000)	JASDQU010010631.1	125000	33	0.224765
(101,2603)(164773,169633)(150000,200000)	JASDQU010010645.1	175000	2504	0.313556
(11,518)(108736,109256)(100000,150000)	JASDQU010010655.1	125000	509	0.823390
(738,746)(155804,155818)(150000,200000)	JASDQU010010661.1	175000	10	0.029324
(99,932)(111503,115927)(100000,150000)	JASDQU010010666.1	125000	835	0.054282
(933,3670)(161638,166480)(150000,200000)	JASDQU010010666.1	175000	2739	0.752135
(3671,3814)(396980,397129)(350000,400000)	JASDQU010010666.1	375000	145	0.063722
(3815,3902)(420760,420858)(400000,450000)	JASDQU010010666.1	425000	89	0.143321
(421,824)(75071,86450)(50000,100000)	JASDQU010010688.1	75000	405	0.064983
(8,47)(119748,119796)(100000,150000)	JASDQU010010689.1	125000	41	0.251568
(127,1459)(212729,214082)(200000,250000)	JASDQU010010690.1	225000	1334	0.541394
(2458,2503)(75580,75632)(50000,100000)	JASDQU010010697.1	75000	47	0.040018
(351,966)(150000,150629)(150000,200000)	JASDQU010010711.1	175000	617	0.243767
(723,773)(88277,88334)(50000,100000)	JASDQU010010712.1	75000	52	0.067547
